stage,dataset_size,seed,normal_scenario,challenge_threshold,normal_fit_count,attack_fit_count,normal_calibration_count,attack_calibration_count,validation_fpr,validation_sequence_detection,validation_preobjective_detection,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
supervised_sequence_v6,100,43,normal_nat_burst,0.5179563215117274,7668,272,7224,272,0.0009689922480620155,1.0,1.0,248,0,240,24,1.0,0.9117647058823529,0.9538461538461539,0.9988204656862746,0.9989993473271062,0.0,0.020833333333333332,0.0,1.0,1.0,0.9852941176470589,1.0,1.0,240,272,68
hardened_v3_event,100,44,normal_staggered,0.5887809368645275,7668,272,7224,272,0.0009689922480620155,1.0,0.9852941176470589,0,0,240,272,0.0,0.0,0.0,0.6162837009803921,0.667467053419384,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
supervised_sequence_v6,100,44,normal_staggered,0.5887809368645275,7668,272,7224,272,0.0009689922480620155,1.0,0.9852941176470589,237,0,240,35,1.0,0.8713235294117647,0.9312377210216111,0.9962928921568627,0.9969916751079646,0.0,0.0,0.0,1.0,0.9852941176470589,0.9852941176470589,1.0,1.0,240,272,68
hardened_v3_event,100,44,normal_nat_burst,0.4900867564867863,7668,272,7224,272,0.0009689922480620155,1.0,1.0,0,0,240,272,0.0,0.0,0.0,0.8170726102941177,0.8554803163359035,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
supervised_sequence_v6,100,44,normal_nat_burst,0.4900867564867863,7668,272,7224,272,0.0009689922480620155,1.0,1.0,253,0,240,19,1.0,0.9301470588235294,0.9638095238095238,0.997579656862745,0.9980437142487406,0.0,0.0,0.0,1.0,1.0,0.9852941176470589,1.0,1.0,240,272,68
hardened_v3_event,100,45,normal_staggered,0.5689021661013927,7668,272,7224,272,0.0009689922480620155,1.0,1.0,0,0,240,272,0.0,0.0,0.0,0.6299249387254902,0.6661385249549588,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
supervised_sequence_v6,100,45,normal_staggered,0.5689021661013927,7668,272,7224,272,0.0009689922480620155,1.0,1.0,241,5,235,31,0.9796747967479674,0.8860294117647058,0.9305019305019304,0.9919041053921569,0.9931494539015624,0.020833333333333332,0.020833333333333332,0.0,1.0,1.0,0.9705882352941176,1.0,1.0,240,272,68
hardened_v3_event,100,45,normal_nat_burst,0.47279390835465923,7668,272,7224,272,0.0009689922480620155,1.0,1.0,0,1,239,272,0.0,0.0,0.0,0.8327512254901961,0.853629961975798,0.004166666666666667,0.004166666666666667,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
supervised_sequence_v6,100,45,normal_nat_burst,0.47279390835465923,7668,272,7224,272,0.0009689922480620155,1.0,1.0,254,1,239,18,0.996078431372549,0.9338235294117647,0.9639468690702088,0.9959405637254902,0.9968041351916944,0.004166666666666667,0.004166666666666667,0.0,1.0,1.0,0.9852941176470589,1.0,1.0,240,272,68
hardened_v3_event,100,46,normal_staggered,0.5586743264331017,7668,272,7224,272,0.0009689922480620155,1.0,1.0,0,0,240,272,0.0,0.0,0.0,0.6604626225490196,0.6989679398472217,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
supervised_sequence_v6,100,46,normal_staggered,0.5586743264331017,7668,272,7224,272,0.0009689922480620155,1.0,1.0,241,1,239,31,0.9958677685950413,0.8860294117647058,0.9377431906614786,0.9938572303921568,0.9949863142708171,0.004166666666666667,0.008333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,240,272,68
hardened_v3_event,100,46,normal_nat_burst,0.5350007995185407,7668,272,7224,272,0.0009689922480620155,1.0,1.0,0,1,239,272,0.0,0.0,0.0,0.8334482230392157,0.8632228467386904,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0,0.0,5.0,1.0,240,272,68
supervised_sequence_v6,100,46,normal_nat_burst,0.5350007995185407,7668,272,7224,272,0.0009689922480620155,1.0,1.0,248,1,239,24,0.9959839357429718,0.9117647058823529,0.9520153550863724,0.9967371323529411,0.996700710157432,0.004166666666666667,0.004166666666666667,0.004166666666666667,1.0,1.0,1.0,1.0,1.0,240,272,68
hardened_v3_event,500,42,normal_staggered,0.605878333976318,17964,272,15600,272,0.0009615384615384616,1.0,1.0,2,2,1198,270,0.5,0.007352941176470588,0.014492753623188406,0.8065824142156863,0.5858864728824202,0.0016666666666666668,0.0016666666666666668,0.0,0.029411764705882353,0.014705882352941176,0.014705882352941176,5.0,1.0,1200,272,68
supervised_sequence_v6,500,42,normal_staggered,0.605878333976318,17964,272,15600,272,0.0009615384615384616,1.0,1.0,249,3,1197,23,0.9880952380952381,0.9154411764705882,0.950381679389313,0.9962837009803922,0.988484393355893,0.0025,0.0025,0.0,1.0,1.0,0.9852941176470589,1.0,1.0,1200,272,68
hardened_v3_event,500,42,normal_nat_burst,0.6747919625071105,17964,272,15600,272,0.0009615384615384616,1.0,1.0,0,3,1197,272,0.0,0.0,0.0,0.9161871936274508,0.7775697461824458,0.0025,0.0025,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
supervised_sequence_v6,500,42,normal_nat_burst,0.6747919625071105,17964,272,15600,272,0.0009615384615384616,1.0,1.0,251,3,1197,21,0.9881889763779528,0.9227941176470589,0.9543726235741445,0.9993075980392158,0.9967269703578063,0.0025,0.0025,0.0,1.0,1.0,0.9852941176470589,1.0,1.0,1200,272,68
hardened_v3_event,500,43,normal_staggered,0.6857373669906567,17964,272,15600,272,0.0009615384615384616,1.0,1.0,0,4,1196,272,0.0,0.0,0.0,0.7994577205882353,0.5818044027482439,0.0033333333333333335,0.0033333333333333335,0.0008333333333333334,0.0,0.0,0.0,5.0,1.0,1200,272,68
supervised_sequence_v6,500,43,normal_staggered,0.6857373669906567,17964,272,15600,272,0.0009615384615384616,1.0,1.0,251,5,1195,21,0.98046875,0.9227941176470589,0.9507575757575757,0.9980821078431372,0.9929299075397203,0.004166666666666667,0.004166666666666667,0.0008333333333333334,1.0,1.0,1.0,1.0,1.0,1200,272,68
hardened_v3_event,500,43,normal_nat_burst,0.5975143802185028,17964,272,15600,272,0.0009615384615384616,1.0,1.0,0,3,1197,272,0.0,0.0,0.0,0.9329656862745099,0.7998944489787891,0.0025,0.0025,0.0008333333333333334,0.0,0.0,0.0,5.0,1.0,1200,272,68
supervised_sequence_v6,500,43,normal_nat_burst,0.5975143802185028,17964,272,15600,272,0.0009615384615384616,1.0,1.0,251,3,1197,21,0.9881889763779528,0.9227941176470589,0.9543726235741445,0.999280024509804,0.9966410328046945,0.0025,0.0025,0.0008333333333333334,1.0,1.0,0.9852941176470589,1.0,1.0,1200,272,68
hardened_v3_event,500,44,normal_staggered,0.6880212745840623,17964,272,15600,272,0.0009615384615384616,1.0,1.0,0,2,1198,272,0.0,0.0,0.0,0.7990533088235294,0.5766303074436911,0.0016666666666666668,0.0016666666666666668,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
supervised_sequence_v6,500,44,normal_staggered,0.6880212745840623,17964,272,15600,272,0.0009615384615384616,1.0,1.0,234,2,1198,38,0.9915254237288136,0.8602941176470589,0.9212598425196851,0.9952068014705883,0.9841174479702071,0.0016666666666666668,0.0016666666666666668,0.0,1.0,1.0,1.0,1.0,1.0,1200,272,68
hardened_v3_event,500,44,normal_nat_burst,0.5994079797045307,17964,272,15600,272,0.0009615384615384616,1.0,1.0,0,1,1199,272,0.0,0.0,0.0,0.8926011029411766,0.7623843026623803,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
