stage,dataset_size,seed,normal_scenario,attack_type,attack_family,expected_action,challenge_recall,policy_success,mean_score
hardened_v3,10,44,normal_staggered,attack_permission_change,known,challenge,1.0,1.0,0.7766666666666667
hardened_v3,10,44,normal_staggered,attack_combined_ato,known,block,1.0,1.0,0.9833333333333335
hardened_v3,10,44,normal_staggered,attack_failed_near_threshold,evasive,challenge,1.0,1.0,0.49
hardened_v3,10,44,normal_staggered,attack_velocity_near_threshold,evasive,challenge,1.0,1.0,0.37999999999999995
hardened_v3,10,44,normal_staggered,attack_concurrent_near_threshold,evasive,challenge,1.0,1.0,0.9483333333333336
hardened_v3,10,44,normal_staggered,attack_session_exfiltration,evasive,challenge,0.5,0.5,0.375
hardened_v3,10,44,normal_staggered,attack_lateral_known_path,evasive,challenge,1.0,1.0,0.91
hardened_v3,10,44,normal_staggered,attack_low_slow_ato,evasive,challenge,1.0,1.0,0.4533333333333332
full_v2,10,44,normal_nat_burst,attack_new_device,known,challenge,1.0,1.0,0.8991666666666666
full_v2,10,44,normal_nat_burst,attack_new_ua_family,known,challenge,0.9583333333333334,0.9583333333333334,0.6216666666666668
full_v2,10,44,normal_nat_burst,attack_new_os,known,warn,0.0,0.0,0.41875
full_v2,10,44,normal_nat_burst,attack_off_hours,known,warn,0.0,0.0,0.19166666666666665
full_v2,10,44,normal_nat_burst,attack_failed_spike,known,challenge,1.0,1.0,0.5429166666666667
full_v2,10,44,normal_nat_burst,attack_login_velocity,known,challenge,1.0,1.0,0.5445833333333333
full_v2,10,44,normal_nat_burst,attack_concurrent_sessions,known,challenge,1.0,1.0,0.43958333333333327
full_v2,10,44,normal_nat_burst,attack_subsystem_lateral,known,challenge,0.5833333333333334,0.5833333333333334,0.5320833333333334
full_v2,10,44,normal_nat_burst,attack_new_passkey,known,challenge,1.0,1.0,0.5975
full_v2,10,44,normal_nat_burst,attack_permission_change,known,challenge,1.0,1.0,0.6183333333333333
