stage,dataset_size,seed,normal_scenario,precision,challenge_recall,f1,challenge_fpr,warn_fpr,block_fpr,policy_success,known_policy_success,evasive_challenge_recall,normal_count,attack_count
hardened_v3,1000,43,normal_nat_burst,0.9777777777777777,0.8461538461538461,0.9072164948453608,0.0025,0.0025,0.0008333333333333334,1.0,1.0,1.0,2400,312
full_v2,1000,44,normal_staggered,0.9760765550239234,0.6538461538461539,0.7831094049904029,0.0020833333333333333,0.0020833333333333333,0.0,0.8076923076923077,1.0,0.16666666666666666,2400,312
hardened_v3,1000,44,normal_staggered,0.9814126394052045,0.8461538461538461,0.9087779690189329,0.0020833333333333333,0.0020833333333333333,0.00125,1.0,1.0,1.0,2400,312
full_v2,1000,44,normal_nat_burst,0.9626168224299065,0.6602564102564102,0.7832699619771865,0.0033333333333333335,0.0033333333333333335,0.0,0.8141025641025641,1.0,0.19444444444444445,2400,312
hardened_v3,1000,44,normal_nat_burst,0.9705882352941176,0.8461538461538461,0.9041095890410958,0.0033333333333333335,0.0033333333333333335,0.0004166666666666667,1.0,1.0,1.0,2400,312
full_v2,1000,45,normal_staggered,0.9951456310679612,0.657051282051282,0.7915057915057915,0.0004166666666666667,0.0004166666666666667,0.0,0.8108974358974359,0.9916666666666667,0.20833333333333334,2400,312
hardened_v3,1000,45,normal_staggered,0.9962264150943396,0.8461538461538461,0.9150779896013865,0.0004166666666666667,0.0004166666666666667,0.0,1.0,1.0,1.0,2400,312
full_v2,1000,45,normal_nat_burst,0.9807692307692307,0.6538461538461539,0.7846153846153847,0.0016666666666666668,0.0016666666666666668,0.0,0.8076923076923077,1.0,0.16666666666666666,2400,312
hardened_v3,1000,45,normal_nat_burst,0.9850746268656716,0.8461538461538461,0.9103448275862068,0.0016666666666666668,0.0016666666666666668,0.0,1.0,1.0,1.0,2400,312
full_v2,1000,46,normal_staggered,1.0,0.6410256410256411,0.7812500000000001,0.0,0.0,0.0,0.7948717948717948,0.9833333333333333,0.16666666666666666,2400,312
hardened_v3,1000,46,normal_staggered,1.0,0.8461538461538461,0.9166666666666666,0.0,0.0,0.0,1.0,1.0,1.0,2400,312
full_v2,1000,46,normal_nat_burst,0.9711538461538461,0.6474358974358975,0.7769230769230769,0.0025,0.0025,0.0,0.8012820512820513,0.9916666666666667,0.16666666666666666,2400,312
hardened_v3,1000,46,normal_nat_burst,0.9777777777777777,0.8461538461538461,0.9072164948453608,0.0025,0.0025,0.0,1.0,1.0,1.0,2400,312
full_v2,5000,42,normal_staggered,0.9198113207547169,0.625,0.7442748091603054,0.0014166666666666668,0.0019166666666666666,0.0,0.7788461538461539,0.975,0.125,12000,312
hardened_v3,5000,42,normal_staggered,0.9361702127659575,0.8461538461538461,0.8888888888888888,0.0015,0.0020833333333333333,0.0005,1.0,1.0,1.0,12000,312
