stage,dataset_size,seed,normal_scenario,sequence_fit_count,sequence_calibration_count,warn_threshold,challenge_threshold,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
hardened_v3_event,100,44,normal_staggered,684,240,0.6508914942321616,0.7023611431359189,0,0,240,272,0.0,0.0,0.0,0.6162837009803921,0.667467053419384,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
sequence_model_v5,100,44,normal_staggered,684,240,0.6508914942321616,0.7023611431359189,16,1,239,256,0.9411764705882353,0.058823529411764705,0.11072664359861592,0.8064644607843137,0.8335084555567019,0.004166666666666667,0.0125,0.0,0.20588235294117646,0.04411764705882353,0.17647058823529413,5.0,1.0,240,272,68
hardened_v3_event,100,44,normal_nat_burst,684,240,0.6212850005238222,0.6816536068580227,0,0,240,272,0.0,0.0,0.0,0.8170726102941177,0.8554803163359035,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
sequence_model_v5,100,44,normal_nat_burst,684,240,0.6212850005238222,0.6816536068580227,20,0,240,252,1.0,0.07352941176470588,0.13698630136986303,0.8782015931372549,0.8917277064420883,0.0,0.004166666666666667,0.0,0.27941176470588236,0.11764705882352941,0.17647058823529413,5.0,1.0,240,272,68
hardened_v3_event,100,45,normal_staggered,684,240,0.653930295575473,0.7310351711956097,0,0,240,272,0.0,0.0,0.0,0.6299249387254902,0.6661385249549588,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
sequence_model_v5,100,45,normal_staggered,684,240,0.653930295575473,0.7310351711956097,12,0,240,260,1.0,0.04411764705882353,0.08450704225352113,0.6956112132352941,0.7475499410199533,0.0,0.0125,0.0,0.17647058823529413,0.0,0.17647058823529413,5.0,1.0,240,272,68
hardened_v3_event,100,45,normal_nat_burst,684,240,0.6712329225474202,0.7206382643205965,0,1,239,272,0.0,0.0,0.0,0.8327512254901961,0.853629961975798,0.004166666666666667,0.004166666666666667,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
sequence_model_v5,100,45,normal_nat_burst,684,240,0.6712329225474202,0.7206382643205965,2,1,239,270,0.6666666666666666,0.007352941176470588,0.014545454545454547,0.8460477941176471,0.8638478892716901,0.004166666666666667,0.008333333333333333,0.0,0.029411764705882353,0.0,0.029411764705882353,5.0,1.0,240,272,68
hardened_v3_event,100,46,normal_staggered,684,240,0.6279537966493502,0.7081913091890861,0,0,240,272,0.0,0.0,0.0,0.6604626225490196,0.6989679398472217,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
sequence_model_v5,100,46,normal_staggered,684,240,0.6279537966493502,0.7081913091890861,14,1,239,258,0.9333333333333333,0.051470588235294115,0.09756097560975609,0.7812882965686275,0.8025299122009721,0.004166666666666667,0.016666666666666666,0.0,0.19117647058823528,0.029411764705882353,0.17647058823529413,5.0,1.0,240,272,68
