stage,dataset_size,seed,normal_scenario,attack_type,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,attack_phase_count,attack_sequence_count
temporal_mlp_only_v8,10,45,normal_staggered,gradual_exfiltration,49,0,0,0,11,1.0,0.8166666666666667,0.8990825688073394,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,60,12
temporal_mlp_only_v8,10,45,normal_staggered,distributed_lateral_drift,38,0,0,0,2,1.0,0.95,0.9743589743589743,0.0,0.0,1.0,1.0,1.0,1.0,40,8
temporal_mlp_only_v8,10,45,normal_staggered,profile_poisoning_chain,48,0,0,0,12,1.0,0.8,0.888888888888889,0.0,0.0,1.0,1.0,1.0,1.5,60,12
temporal_mlp_only_v8,10,45,normal_staggered,cookie_hijack_blend,44,0,0,0,16,1.0,0.7333333333333333,0.846153846153846,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,60,12
temporal_mlp_only_v8,10,45,normal_staggered,distributed_password_spray,31,0,0,0,29,1.0,0.5166666666666667,0.6813186813186815,0.0,0.0,1.0,0.8333333333333334,1.0,3.0,60,12
disjoint_hybrid_v8,10,45,normal_staggered,stealth_mimicry_ato,53,0,0,0,7,1.0,0.8833333333333333,0.9380530973451328,0.0,0.0,1.0,1.0,1.0,1.0,60,12
disjoint_hybrid_v8,10,45,normal_staggered,slow_credential_probe,36,0,0,0,24,1.0,0.6,0.7499999999999999,0.0,0.0,1.0,0.8333333333333334,1.0,2.0,60,12
disjoint_hybrid_v8,10,45,normal_staggered,session_replay_jitter,45,0,0,0,15,1.0,0.75,0.8571428571428571,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,60,12
disjoint_hybrid_v8,10,45,normal_staggered,gradual_exfiltration,51,0,0,0,9,1.0,0.85,0.9189189189189189,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,60,12
disjoint_hybrid_v8,10,45,normal_staggered,distributed_lateral_drift,38,0,0,0,2,1.0,0.95,0.9743589743589743,0.0,0.0,1.0,1.0,1.0,1.0,40,8
disjoint_hybrid_v8,10,45,normal_staggered,profile_poisoning_chain,48,0,0,0,12,1.0,0.8,0.888888888888889,0.0,0.0,1.0,1.0,1.0,1.5,60,12
disjoint_hybrid_v8,10,45,normal_staggered,cookie_hijack_blend,49,0,0,0,11,1.0,0.8166666666666667,0.8990825688073394,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,60,12
disjoint_hybrid_v8,10,45,normal_staggered,distributed_password_spray,37,0,0,0,23,1.0,0.6166666666666667,0.7628865979381444,0.0,0.0,1.0,0.8333333333333334,1.0,2.0,60,12
temporal_mlp_only_v8,10,45,normal_nat_burst,stealth_mimicry_ato,50,0,0,0,10,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,1.0,1.0,1.0,2.0,60,12
temporal_mlp_only_v8,10,45,normal_nat_burst,slow_credential_probe,33,0,0,0,27,1.0,0.55,0.7096774193548387,0.0,0.0,1.0,0.8333333333333334,1.0,3.0,60,12
temporal_mlp_only_v8,10,45,normal_nat_burst,session_replay_jitter,39,0,0,0,21,1.0,0.65,0.787878787878788,0.0,0.0,1.0,1.0,0.9166666666666666,2.0,60,12
temporal_mlp_only_v8,10,45,normal_nat_burst,gradual_exfiltration,47,0,0,0,13,1.0,0.7833333333333333,0.8785046728971964,0.0,0.0,1.0,1.0,1.0,1.5,60,12
temporal_mlp_only_v8,10,45,normal_nat_burst,distributed_lateral_drift,36,0,0,0,4,1.0,0.9,0.9473684210526316,0.0,0.0,1.0,1.0,1.0,1.0,40,8
temporal_mlp_only_v8,10,45,normal_nat_burst,profile_poisoning_chain,46,0,0,0,14,1.0,0.7666666666666667,0.8679245283018869,0.0,0.0,1.0,1.0,1.0,2.0,60,12
temporal_mlp_only_v8,10,45,normal_nat_burst,cookie_hijack_blend,42,0,0,0,18,1.0,0.7,0.8235294117647058,0.0,0.0,1.0,0.8333333333333334,1.0,1.0,60,12
temporal_mlp_only_v8,10,45,normal_nat_burst,distributed_password_spray,35,0,0,0,25,1.0,0.5833333333333334,0.7368421052631579,0.0,0.0,1.0,0.8333333333333334,1.0,2.5,60,12
disjoint_hybrid_v8,10,45,normal_nat_burst,stealth_mimicry_ato,53,0,0,0,7,1.0,0.8833333333333333,0.9380530973451328,0.0,0.0,1.0,1.0,1.0,1.0,60,12
disjoint_hybrid_v8,10,45,normal_nat_burst,slow_credential_probe,39,0,0,0,21,1.0,0.65,0.787878787878788,0.0,0.0,1.0,0.9166666666666666,1.0,2.0,60,12
disjoint_hybrid_v8,10,45,normal_nat_burst,session_replay_jitter,43,0,0,0,17,1.0,0.7166666666666667,0.8349514563106796,0.0,0.0,1.0,1.0,0.9166666666666666,1.5,60,12
disjoint_hybrid_v8,10,45,normal_nat_burst,gradual_exfiltration,50,0,0,0,10,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,1.0,1.0,1.0,1.0,60,12
disjoint_hybrid_v8,10,45,normal_nat_burst,distributed_lateral_drift,36,0,0,0,4,1.0,0.9,0.9473684210526316,0.0,0.0,1.0,1.0,1.0,1.0,40,8
disjoint_hybrid_v8,10,45,normal_nat_burst,profile_poisoning_chain,50,0,0,0,10,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,1.0,1.0,1.0,1.0,60,12
disjoint_hybrid_v8,10,45,normal_nat_burst,cookie_hijack_blend,50,0,0,0,10,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,1.0,1.0,1.0,1.0,60,12
disjoint_hybrid_v8,10,45,normal_nat_burst,distributed_password_spray,41,0,0,0,19,1.0,0.6833333333333333,0.8118811881188119,0.0,0.0,1.0,0.9166666666666666,1.0,2.0,60,12
temporal_mlp_only_v8,10,46,normal_staggered,stealth_mimicry_ato,43,0,0,0,17,1.0,0.7166666666666667,0.8349514563106796,0.0,0.0,1.0,0.9166666666666666,1.0,2.0,60,12
temporal_mlp_only_v8,10,46,normal_staggered,slow_credential_probe,24,0,0,0,36,1.0,0.4,0.5714285714285715,0.0,0.0,1.0,0.75,0.8333333333333334,3.0,60,12
temporal_mlp_only_v8,10,46,normal_staggered,session_replay_jitter,41,0,0,0,19,1.0,0.6833333333333333,0.8118811881188119,0.0,0.0,1.0,1.0,1.0,1.0,60,12
temporal_mlp_only_v8,10,46,normal_staggered,gradual_exfiltration,43,0,0,0,17,1.0,0.7166666666666667,0.8349514563106796,0.0,0.0,1.0,1.0,1.0,2.5,60,12
temporal_mlp_only_v8,10,46,normal_staggered,distributed_lateral_drift,25,0,0,0,15,1.0,0.625,0.7692307692307693,0.0,0.0,1.0,1.0,0.75,1.5,40,8
temporal_mlp_only_v8,10,46,normal_staggered,profile_poisoning_chain,43,0,0,0,17,1.0,0.7166666666666667,0.8349514563106796,0.0,0.0,1.0,1.0,0.9166666666666666,1.5,60,12
temporal_mlp_only_v8,10,46,normal_staggered,cookie_hijack_blend,39,0,0,0,21,1.0,0.65,0.787878787878788,0.0,0.0,1.0,0.9166666666666666,0.9166666666666666,1.5,60,12
