stage,dataset_size,seed,normal_scenario,challenge_threshold,warn_threshold,epochs_trained,validation_loss,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr_total,unexpected_challenge_fpr,warn_or_higher_rate_total,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,normal_count,attack_phase_count,attack_sequence_count
temporal_mlp_only_v8,50,46,normal_staggered,0.9828980667136306,0.72694544325648,120,0.025502985751361812,441,4,4,116,19,0.9910112359550561,0.9586956521739131,0.974585635359116,0.9916304347826086,0.9973070562846199,0.03333333333333333,0.03333333333333333,0.058333333333333334,1.0,1.0,1.0,1.0,120,460,92
disjoint_hybrid_v8,50,46,normal_staggered,0.9828980667136306,0.72694544325648,120,0.025502985751361812,445,4,24,96,15,0.9910913140311804,0.967391304347826,0.9790979097909791,0.9916304347826086,0.9973070562846199,0.2,0.04,0.23333333333333334,1.0,1.0,1.0,1.0,120,460,92
temporal_mlp_only_v8,50,46,normal_nat_burst,0.9828980667136306,0.72694544325648,120,0.025502985751361812,418,3,3,117,42,0.9928741092636579,0.908695652173913,0.9489216799091941,0.9896014492753623,0.9964500169644004,0.025,0.025,0.03333333333333333,1.0,1.0,0.9782608695652174,1.0,120,460,92
disjoint_hybrid_v8,50,46,normal_nat_burst,0.9828980667136306,0.72694544325648,120,0.025502985751361812,421,3,23,97,39,0.9929245283018868,0.9152173913043479,0.9524886877828055,0.9896014492753623,0.9964500169644004,0.19166666666666668,0.03,0.20833333333333334,1.0,1.0,0.9891304347826086,1.0,120,460,92
temporal_mlp_only_v8,100,42,normal_staggered,0.9909292738573301,0.610781752831663,84,0.024428225740492318,406,0,0,240,54,1.0,0.8826086956521739,0.9376443418013857,0.9993297101449276,0.9996447421093295,0.0,0.0,0.0375,1.0,1.0,0.9130434782608695,1.0,240,460,92
disjoint_hybrid_v8,100,42,normal_staggered,0.9909292738573301,0.610781752831663,84,0.024428225740492318,412,0,40,200,48,1.0,0.8956521739130435,0.944954128440367,0.9993297101449276,0.9996447421093295,0.16666666666666666,0.0,0.18333333333333332,1.0,1.0,0.9347826086956522,1.0,240,460,92
temporal_mlp_only_v8,100,42,normal_nat_burst,0.9909292738573301,0.610781752831663,84,0.024428225740492318,418,2,2,238,42,0.9952380952380953,0.908695652173913,0.9500000000000001,0.9951721014492754,0.996176181484264,0.008333333333333333,0.008333333333333333,0.0625,1.0,1.0,0.9130434782608695,1.0,240,460,92
disjoint_hybrid_v8,100,42,normal_nat_burst,0.9909292738573301,0.610781752831663,84,0.024428225740492318,426,2,42,198,34,0.9953271028037384,0.9260869565217391,0.9594594594594595,0.9951721014492754,0.996176181484264,0.175,0.01,0.21666666666666667,1.0,1.0,0.9239130434782609,1.0,240,460,92
temporal_mlp_only_v8,100,43,normal_staggered,0.9778519346258089,0.34433404989902816,93,0.01782504468786078,437,4,4,236,23,0.9909297052154195,0.95,0.9700332963374028,0.9945289855072463,0.9963373885342901,0.016666666666666666,0.016666666666666666,0.04583333333333333,1.0,1.0,0.967391304347826,1.0,240,460,92
disjoint_hybrid_v8,100,43,normal_staggered,0.9778519346258089,0.34433404989902816,93,0.01782504468786078,440,3,43,197,20,0.9932279909706546,0.9565217391304348,0.9745293466223698,0.9945289855072463,0.9963373885342901,0.17916666666666667,0.015,0.20833333333333334,1.0,1.0,0.9782608695652174,1.0,240,460,92
temporal_mlp_only_v8,100,43,normal_nat_burst,0.9778519346258089,0.34433404989902816,93,0.01782504468786078,435,2,2,238,25,0.9954233409610984,0.9456521739130435,0.9698996655518395,0.9986141304347826,0.99925305687308,0.008333333333333333,0.008333333333333333,0.05,1.0,1.0,0.967391304347826,1.0,240,460,92
disjoint_hybrid_v8,100,43,normal_nat_burst,0.9778519346258089,0.34433404989902816,93,0.01782504468786078,444,2,42,198,16,0.9955156950672646,0.9652173913043478,0.9801324503311257,0.9986141304347826,0.99925305687308,0.175,0.01,0.20833333333333334,1.0,1.0,0.9782608695652174,1.0,240,460,92
temporal_mlp_only_v8,100,44,normal_staggered,0.9672764799469803,0.5608052786199208,78,0.017023235395344644,449,4,4,236,11,0.9911699779249448,0.9760869565217392,0.9835706462212487,0.998713768115942,0.9992915435526063,0.016666666666666666,0.016666666666666666,0.03333333333333333,1.0,1.0,0.967391304347826,1.0,240,460,92
disjoint_hybrid_v8,100,44,normal_staggered,0.9672764799469803,0.5608052786199208,78,0.017023235395344644,455,3,43,197,5,0.9934497816593887,0.9891304347826086,0.9912854030501089,0.998713768115942,0.9992915435526063,0.17916666666666667,0.015,0.2,1.0,1.0,0.967391304347826,1.0,240,460,92
temporal_mlp_only_v8,100,44,normal_nat_burst,0.9672764799469803,0.5608052786199208,78,0.017023235395344644,452,2,2,238,8,0.9955947136563876,0.9826086956521739,0.9890590809628009,0.9990489130434783,0.9994877655341043,0.008333333333333333,0.008333333333333333,0.05,1.0,1.0,0.9891304347826086,1.0,240,460,92
disjoint_hybrid_v8,100,44,normal_nat_burst,0.9672764799469803,0.5608052786199208,78,0.017023235395344644,453,2,42,198,7,0.9956043956043956,0.9847826086956522,0.9901639344262295,0.9990489130434783,0.9994877655341043,0.175,0.01,0.22083333333333333,1.0,1.0,0.9891304347826086,1.0,240,460,92
temporal_mlp_only_v8,100,45,normal_staggered,0.991089662062642,0.9260930207726693,71,0.036883685730179736,354,4,4,236,106,0.9888268156424581,0.7695652173913043,0.865525672371638,0.9899547101449275,0.9925966756723686,0.016666666666666666,0.016666666666666666,0.03333333333333333,1.0,0.9891304347826086,0.9239130434782609,1.0,240,460,92
disjoint_hybrid_v8,100,45,normal_staggered,0.991089662062642,0.9260930207726693,71,0.036883685730179736,365,4,44,196,95,0.989159891598916,0.7934782608695652,0.8805790108564535,0.9899547101449275,0.9925966756723686,0.18333333333333332,0.02,0.2125,1.0,0.9891304347826086,0.9239130434782609,1.0,240,460,92
temporal_mlp_only_v8,100,45,normal_nat_burst,0.991089662062642,0.9260930207726693,71,0.036883685730179736,407,0,0,240,53,1.0,0.8847826086956522,0.9388696655132642,0.9996467391304348,0.9998120972698328,0.0,0.0,0.008333333333333333,1.0,1.0,0.9782608695652174,1.0,240,460,92
disjoint_hybrid_v8,100,45,normal_nat_burst,0.991089662062642,0.9260930207726693,71,0.036883685730179736,411,0,40,200,49,1.0,0.8934782608695652,0.9437428243398392,0.9996467391304348,0.9998120972698328,0.16666666666666666,0.0,0.1875,1.0,1.0,0.9782608695652174,1.0,240,460,92
temporal_mlp_only_v8,100,46,normal_staggered,0.9374651860944364,0.7163385324072342,79,0.02108602882344483,441,8,8,232,19,0.9821826280623608,0.9586956521739131,0.9702970297029704,0.9946376811594202,0.996806513963693,0.03333333333333333,0.03333333333333333,0.05,1.0,1.0,0.9565217391304348,1.0,240,460,92
disjoint_hybrid_v8,100,46,normal_staggered,0.9374651860944364,0.7163385324072342,79,0.02108602882344483,441,7,47,193,19,0.984375,0.9586956521739131,0.9713656387665197,0.9946376811594202,0.996806513963693,0.19583333333333333,0.035,0.225,1.0,1.0,0.9565217391304348,1.0,240,460,92
temporal_mlp_only_v8,100,46,normal_nat_burst,0.9374651860944364,0.7163385324072342,79,0.02108602882344483,447,8,8,232,13,0.9824175824175824,0.9717391304347827,0.9770491803278689,0.9944655797101449,0.996684208673122,0.03333333333333333,0.03333333333333333,0.05416666666666667,1.0,1.0,1.0,1.0,240,460,92
disjoint_hybrid_v8,100,46,normal_nat_burst,0.9374651860944364,0.7163385324072342,79,0.02108602882344483,453,7,47,193,7,0.9847826086956522,0.9847826086956522,0.9847826086956522,0.9944655797101449,0.996684208673122,0.19583333333333333,0.035,0.21666666666666667,1.0,1.0,1.0,1.0,240,460,92
temporal_mlp_only_v8,500,42,normal_staggered,0.996134630181458,0.9236940071041384,103,0.03972541862938683,326,4,4,1196,134,0.9878787878787879,0.7086956521739131,0.8253164556962025,0.9972934782608696,0.9894779536331655,0.0033333333333333335,0.0033333333333333335,0.01,1.0,0.9239130434782609,0.9565217391304348,1.0,1200,460,92
disjoint_hybrid_v8,500,42,normal_staggered,0.996134630181458,0.9236940071041384,103,0.03972541862938683,355,4,204,996,105,0.9888579387186629,0.7717391304347826,0.8669108669108669,0.9972934782608696,0.9894779536331655,0.17,0.004,0.18666666666666668,1.0,0.9239130434782609,0.967391304347826,1.0,1200,460,92
temporal_mlp_only_v8,500,42,normal_nat_burst,0.996134630181458,0.9236940071041384,103,0.03972541862938683,296,1,1,1199,164,0.9966329966329966,0.6434782608695652,0.7820343461030382,0.9978315217391305,0.9934496542161655,0.0008333333333333334,0.0008333333333333334,0.0125,0.967391304347826,0.9239130434782609,0.9021739130434783,2.0,1200,460,92
disjoint_hybrid_v8,500,42,normal_nat_burst,0.996134630181458,0.9236940071041384,103,0.03972541862938683,327,1,201,999,133,0.9969512195121951,0.7108695652173913,0.8299492385786801,0.9978315217391305,0.9934496542161655,0.1675,0.001,0.18166666666666667,0.9782608695652174,0.9347826086956522,0.9239130434782609,2.0,1200,460,92
temporal_mlp_only_v8,500,43,normal_staggered,0.99375771097075,0.8329295210344916,101,0.033365603608553715,379,6,6,1194,81,0.9844155844155844,0.8239130434782609,0.8970414201183432,0.9964583333333333,0.9852815823780533,0.005,0.005,0.013333333333333334,1.0,0.9891304347826086,0.8804347826086957,1.0,1200,460,92
